id,name,city,updated_at
654,user_654,Delhi,2026-03-23 11:18:11.027155
3126,user_3126,Delhi,2026-03-23 11:18:11.032730
3754,user_3754,Delhi,2026-03-23 11:18:11.034217
4112,user_4112,Delhi,2026-03-23 11:18:11.035029
4308,user_4308,Mumbai,2026-03-23 11:18:11.035466
4638,user_4638,Mumbai,2026-03-23 11:18:11.036205
5129,user_5129,Delhi,2026-03-23 11:18:11.037825
5958,user_5958,Bangalore,2026-03-23 11:18:11.039685
6053,user_6053,Pune,2026-03-23 11:18:11.039895
6812,user_6812,Mumbai,2026-03-23 11:18:11.041577
6881,user_6881,Bangalore,2026-03-23 11:18:11.041732
7869,user_7869,Delhi,2026-03-23 11:18:11.043931
8101,user_8101,Bangalore,2026-03-23 11:18:11.044445
9002,user_9002,Delhi,2026-03-23 11:18:11.046909
9361,user_9361,Mumbai,2026-03-23 11:18:11.047800
9890,user_9890,Mumbai,2026-03-23 11:18:11.049022
10113,user_10113,Delhi,2026-03-23 11:18:11.049551
10818,user_10818,Pune,2026-03-23 11:18:11.051314
10937,user_10937,Bangalore,2026-03-23 11:18:11.051580
11888,user_11888,Delhi,2026-03-23 11:18:11.053760
13230,user_13230,Pune,2026-03-23 11:18:11.057204
13668,user_13668,Pune,2026-03-23 11:18:11.058184
14124,user_14124,Pune,2026-03-23 11:18:11.059203
14644,user_14644,Delhi,2026-03-23 11:18:11.060406
15141,user_15141,Pune,2026-03-23 11:18:11.061620
16130,user_16130,Bangalore,2026-03-23 11:18:11.063859
16200,user_16200,Mumbai,2026-03-23 11:18:11.064016
17009,user_17009,Pune,2026-03-23 11:18:11.066007
17107,user_17107,Pune,2026-03-23 11:18:11.066239
17903,user_17903,Bangalore,2026-03-23 11:18:11.068142
18094,user_18094,Bangalore,2026-03-23 11:18:11.068555
18194,user_18194,Mumbai,2026-03-23 11:18:11.068781
19856,user_19856,Delhi,2026-03-23 11:18:11.072929
21072,user_21072,Pune,2026-03-23 11:18:11.075847
23877,user_23877,Delhi,2026-03-23 11:18:11.083340
24288,user_24288,Mumbai,2026-03-23 11:18:11.084387
24776,user_24776,Mumbai,2026-03-23 11:18:11.085488
25339,user_25339,Pune,2026-03-23 11:18:11.086913
25977,user_25977,Delhi,2026-03-23 11:18:11.088307
26767,user_26767,Delhi,2026-03-23 11:18:11.090038
26906,user_26906,Bangalore,2026-03-23 11:18:11.090487
27041,user_27041,Bangalore,2026-03-23 11:18:11.090779
27043,user_27043,Bangalore,2026-03-23 11:18:11.090782
27865,user_27865,Mumbai,2026-03-23 11:18:11.092610
27886,user_27886,Bangalore,2026-03-23 11:18:11.092656
28914,user_28914,Mumbai,2026-03-23 11:18:11.095076
29196,user_29196,Bangalore,2026-03-23 11:18:11.095695
29619,user_29619,Delhi,2026-03-23 11:18:11.096624
31929,user_31929,Delhi,2026-03-23 11:18:11.109351
33039,user_33039,Mumbai,2026-03-23 11:18:11.111810
34554,user_34554,Mumbai,2026-03-23 11:18:11.115215
34938,user_34938,Bangalore,2026-03-23 11:18:11.116060
35804,user_35804,Bangalore,2026-03-23 11:18:11.118027
36074,user_36074,Delhi,2026-03-23 11:18:11.118616
36180,user_36180,Mumbai,2026-03-23 11:18:11.118846
36877,user_36877,Mumbai,2026-03-23 11:18:11.120358
37107,user_37107,Delhi,2026-03-23 11:18:11.120853
37745,user_37745,Bangalore,2026-03-23 11:18:11.122251
38105,user_38105,Delhi,2026-03-23 11:18:11.123140
38293,user_38293,Bangalore,2026-03-23 11:18:11.123637
38949,user_38949,Delhi,2026-03-23 11:18:11.125066
39307,user_39307,Pune,2026-03-23 11:18:11.125881
39576,user_39576,Mumbai,2026-03-23 11:18:11.126467
39919,user_39919,Mumbai,2026-03-23 11:18:11.127211
41132,user_41132,Mumbai,2026-03-23 11:18:11.129867
42608,user_42608,Mumbai,2026-03-23 11:18:11.133168
45372,user_45372,Delhi,2026-03-23 11:18:11.139488
